"","County","Democrat vote raw","Democrat vote %","Republican vote raw","Republican vote %","Other vote raw","Other vote %","Less than 9th grade","9th to 12th grade","HS graduate and eq","College,No Degree","Associates Degree","Bachelors Degree","Graduate or professional degree","Gini Index","Median income","Mean income","Area","Density","Total Pop","Hispanic or Latino %","NH-White %","NH-Black %","NH-American Native %","NH-Asian %","NH-Native Pacific Islander %","NH-Other Race %","NH-Two or More Races %","% in Management, business, science, and arts","% in Service","% in Sales and Office","% in Resources and Construction","% in Transportation","Party"
"1","Anderson County",3955,20.57,15110,78.59,162,0.84,5.5,9.7,38.2,24.3,9.1,9.1,4,0.4294,57445,72139,2752.16,21.1,57922,19.18,57.14,19.73,0.33,0.66,0.02,0.2,2.73,28.31,21.34,19.18,14.01,17.16,"Republican"
"2","Andrews County",850,14.5,4943,84.31,70,1.19,14.5,11.7,29.2,17.3,7.6,14.8,4.9,0.4628,86458,112085,3886.76,4.72,18610,55.88,39.79,1.03,0.52,0.55,0,0.26,1.97,29.86,19.26,17.76,17.99,15.13,"Republican"
"3","Angelina County",9143,26.44,25076,72.53,355,1.03,7.4,8.6,32.2,24.5,8.6,11.8,6.8,0.4341,57055,73244,2066.46,41.91,86395,22.84,57.84,14.9,0.23,1.03,0.03,0.23,2.9,32.28,19.48,19.79,12.35,16.1,"Republican"
"4","Aransas County",2916,23.73,9239,75.17,135,1.1,5.4,6,31.8,25.5,7.1,15.7,8.4,0.513,58168,87039,652.85,36.84,23830,25.84,66.37,1.01,0.6,2.01,0.06,0.33,3.78,35.96,23.11,16.24,12.28,12.41,"Republican"
"5","Archer County",446,9.3,4300,89.66,50,1.04,2.4,6.4,37.3,21,7.7,17,8.2,0.4714,69954,94115,2339.51,3.7,8560,8.67,85.93,0.35,0.83,0.21,0,0.25,3.76,37.17,16.14,18.93,14.18,13.59,"Republican"
"6","Armstrong County",75,6.74,1035,93.08,2,0.18,4,3.2,33.1,24.5,9.2,17.7,8.3,0.3626,70417,81158,2354.62,0.81,1848,7.79,86.2,0.32,0.92,0.54,0,0.11,4.11,42.3,18.58,12.35,16.87,9.9,"Republican"
"7","Atascosa County",5876,32.43,12039,66.45,203,1.12,8.5,11,39.8,21,5.3,11,3.5,0.4279,67442,81385,3158.6,15.64,48981,63.65,32.8,0.69,0.24,0.35,0.03,0.36,1.88,26.21,17.85,21.03,19.06,15.85,"Republican"
"8","Austin County",2951,20.28,11447,78.65,156,1.07,5.9,6.2,32.5,24.4,6.8,17.9,6.2,0.4246,73556,92446,1674.42,18.16,30167,26.69,61.26,7.8,0.26,0.67,0.03,0.35,2.95,32.82,15.18,22.83,14.17,14.99,"Republican"
"9","Bailey County",409,21.99,1434,77.1,17,0.91,10.1,16.7,33.6,18.8,5.4,11.1,4.2,0.4378,69830,82529,2141.85,3.22,6904,65.76,31.72,0.71,0.35,0.12,0,0.39,0.96,23.43,7.03,17.87,20.41,31.26,"Republican"
"10","Bandera County",2505,19.7,10057,79.1,153,1.2,2.7,5.3,29.6,24.3,10.7,17.1,10.2,0.4583,70965,93223,2048.66,10.34,20851,19.23,74.79,0.49,0.48,0.46,0.05,0.34,4.15,38.78,19.39,19.42,13.38,9.03,"Republican"
"11","Bastrop County",15474,42.2,20516,55.96,675,1.84,9.3,7.7,30.4,23.6,6,15.7,7.4,0.422,80151,97636,2300.5,42.79,97216,42.67,47.06,5.62,0.32,0.74,0.06,0.43,3.1,32.88,16.68,19.86,15.62,14.96,"Republican"
"12","Baylor County",183,10.75,1494,87.78,25,1.47,2.3,10.7,36.7,19.9,7.1,19.5,3.8,0.4761,52716,71186,2246.76,1.55,3465,12.67,80.72,1.5,0.32,0.26,0,0.23,4.3,41.21,13.96,14.36,16.51,13.96,"Republican"
"13","Bee County",3288,34.9,6006,63.76,126,1.34,7.8,12,33.3,26.9,8.5,6.8,4.7,0.4937,50283,72582,2279.81,13.59,31047,62.46,27.7,7.46,0.17,0.68,0.01,0.21,1.31,29.81,23.3,18.9,12.35,15.63,"Republican"
"14","Bell County",57014,44.76,67893,53.3,2468,1.94,3.5,5.7,25.8,27.8,10.4,17.6,9.1,0.4541,62858,83348,2729.41,136.59,370647,25.22,42.3,21.79,0.39,2.94,0.93,0.56,5.88,35.14,19.01,22.33,10.37,13.15,"Republican"
"15","Bexar County",448452,58.32,308618,40.13,11882,1.55,6.6,7.5,24.6,22.4,8.5,18.8,11.6,0.4641,67275,90894,3212.43,626.96,2009324,59.27,26.66,7.36,0.23,3.25,0.14,0.41,2.69,37.52,18.55,23.12,9.52,11.29,"Democrat"
"16","Blanco County",1911,25.68,5443,73.15,87,1.17,5,4.7,27,23.7,9,23.9,6.8,0.4571,79717,106901,1836.95,6.32,11374,18.39,76.55,0.6,0.32,0.33,0,0.62,3.19,36.68,17.76,22.41,15.54,7.62,"Republican"
"17","Borden County",16,3.85,397,95.43,3,0.72,2.3,3.2,21.2,25.7,8.2,29.2,10.3,0.4616,80625,122340,2324.37,0.3,631,13.63,83.68,0.16,0,0,0,0.16,2.38,34.77,17.2,20.79,17.2,10.04,"Republican"
"18","Bosque County",1561,17.1,7469,81.84,96,1.05,4.5,7.8,32.1,27.4,9.2,13.5,5.5,0.4258,63868,81933,2545.88,7.23,18235,18.21,74.7,1.34,0.46,0.44,0.02,0.16,4.68,29.81,19.29,20.32,15.88,14.71,"Republican"
"19","Bowie County",10747,28.09,27116,70.87,398,1.04,3.4,6.6,35.3,24.3,8.1,14.1,8.2,0.489,56628,78971,2291.98,40.47,92893,8.18,60.13,24.85,0.6,1.16,0.07,0.36,4.65,32.02,20.54,23.79,9.61,14.04,"Republican"
"20","Brazoria County",62228,40.15,90433,58.35,2323,1.5,5,6.2,24.6,23.7,9,20.2,11.2,0.4161,91972,115494,3530.85,106.09,372031,30.97,43.5,14.43,0.27,7.05,0.03,0.37,3.38,43.07,13.85,19.06,11.52,12.51,"Republican"
"21","Brazos County",35349,41.56,47530,55.88,2182,2.57,5.1,5.6,21.1,18.3,6.7,23.5,19.7,0.516,57562,84652,1518.09,154.5,233849,26.97,52.61,10.08,0.21,6.25,0.09,0.43,3.35,44.6,17.1,20.78,7.97,9.55,"Republican"
"22","Brewster County",2258,46.83,2461,51.04,103,2.14,4.2,6.9,16.5,21.5,3.2,28.5,19.2,0.4636,47747,69449,16015.87,0.59,9546,41.51,51.83,1.7,0.31,0.98,0.12,0.59,2.95,35.18,23.18,25.29,7.82,8.53,"Republican"
"23","Briscoe County",78,10.76,639,88.14,8,1.1,7.8,7.7,34.6,22.6,11.7,9.6,6.1,0.5395,35446,58194,2330.99,0.55,1435,25.64,70.24,1.18,0.28,0,0,0.21,2.44,36.49,11.29,18.55,22.38,11.29,"Republican"
"24","Brooks County",1470,59.18,998,40.18,16,0.64,12.6,17.3,31,19.2,0.9,14.1,5,0.5043,30566,46187,2443.28,2.89,7076,88.21,10.23,0.11,0.13,0.41,0,0.17,0.73,29.78,32.57,13.13,10.37,14.16,"Democrat"
"25","Brown County",2107,13.19,13698,85.78,164,1.03,3.9,8.7,33.3,26.8,7.4,14.7,5.2,0.4562,53792,73932,2446.12,15.6,38095,21.55,70.01,3.55,0.35,0.71,0.07,0.25,3.5,30.39,18.56,19.69,11.97,19.38,"Republican"
"26","Burleson County",1788,20.77,6743,78.33,78,0.91,5.4,10.9,34,20.4,6.9,16.3,6.1,0.449,71745,92851,1707.02,10.52,17642,21.04,63.81,10.5,0.37,0.4,0,0.19,3.69,33.69,11.67,19.92,18.9,15.82,"Republican"
"27","Burnet County",5639,22.81,18767,75.93,311,1.26,6.4,5.1,29.4,24.5,6.4,19.4,8.7,0.465,71482,104304,2576.52,19.28,49130,22.79,70.85,1.18,0.37,0.86,0.03,0.3,3.61,33.02,19.43,22.62,15.26,9.68,"Republican"
"28","Caldwell County",6672,44.56,8031,53.64,270,1.8,7.4,12.3,37.6,21.7,4.3,11.9,4.8,0.4106,66779,83491,1410.36,32.72,45883,55.51,36.09,4.85,0.28,0.49,0.01,0.39,2.38,29.46,19.6,20.03,17.28,13.64,"Republican"
"29","Calhoun County",2148,27.34,5641,71.8,67,0.85,7.6,8.1,34.7,24.3,9.1,10.1,6.1,0.4133,62267,81858,1312.95,15.33,20106,49.03,41.65,1.8,0.17,5.53,0,0.28,1.55,31.59,14.97,17.51,18.62,17.32,"Republican"
"30","Callahan County",734,10.74,6012,88,86,1.26,1.9,6,36.1,25.1,7.9,17.5,5.4,0.3972,63906,77474,2329.36,5.95,13708,9.53,84.29,0.86,0.48,0.38,0.05,0.36,4.04,35.19,14.09,21.34,13.6,15.78,"Republican"
"31","Cameron County",64063,56.11,49032,42.94,1079,0.95,16.6,12.6,26,17.9,7.5,13.5,6,0.4678,47435,65655,2309.54,182.66,421017,89.47,8.81,0.33,0.09,0.62,0.02,0.2,0.46,29.39,25.75,21.7,10.65,12.51,"Democrat"
"32","Camp County",1394,27.55,3626,71.66,40,0.79,6.8,6,37.8,21.8,6.9,14.7,6,0.4754,53968,75130,507.24,24.73,12464,25.85,54.03,15.06,0.22,0.84,0.06,0.27,3.66,31.11,18.73,18.21,10.94,21.01,"Republican"
"33","Carson County",297,9.51,2779,89.01,46,1.47,2,5.6,32.9,25.1,9.1,17.4,7.8,0.3927,83199,100407,2383.4,2.43,5807,9.61,83.92,0.33,0.79,0.33,0.02,0.12,4.89,44.33,12.71,21.36,9.18,12.42,"Republican"
"34","Cass County",2795,20.07,11033,79.22,99,0.71,3.4,8.9,42.3,20.5,7.6,12.3,4.9,0.4715,54303,71369,2426.68,11.8,28454,4.7,73.9,15.88,0.54,0.42,0.04,0.3,4.22,32.22,18.72,18.23,9.97,20.86,"Republican"
"35","Castro County",466,22.37,1602,76.91,15,0.72,18.4,6.5,33.5,17,5.2,14.9,4.6,0.4186,59886,73212,2316.6,3.19,7371,64.9,31.58,1.29,0.53,0.3,0.05,0.12,1.22,33.89,19.7,16.24,16.04,14.13,"Republican"
"36","Chambers County",3997,18.46,17353,80.15,302,1.39,5.6,5.2,26.8,29.9,9.8,15.9,6.9,0.4188,106103,123951,1546.47,30.42,46571,23.52,64.11,6.76,0.35,1.34,0,0.46,3.47,39.69,13.05,16.14,14.11,17.01,"Republican"
"37","Cherokee County",4210,21.58,15101,77.41,197,1.01,9.2,11.9,32.4,22.6,7.7,10.2,5.9,0.4446,56971,75104,2727.14,18.64,50412,23.4,59.7,12.61,0.25,0.52,0.04,0.24,3.23,32.52,17.52,17.6,14.53,17.82,"Republican"
"38","Childress County",310,13.6,1943,85.26,26,1.14,6.1,11.9,37.5,24.1,5.7,10.5,4.1,0.4678,56063,76358,1803.95,3.76,6664,29.14,57.8,8.58,0.3,0.77,0.03,0.24,3.14,34.35,12.76,19.98,20.64,12.27,"Republican"
"39","Clay County",614,10.7,5069,88.29,58,1.01,2.8,4.3,35.5,26.9,7.3,16.3,6.9,0.3824,75227,84703,2819.87,3.65,10218,6.27,87.5,0.34,0.76,0.49,0,0.3,4.33,36.61,10.1,22.6,12.82,17.87,"Republican"
"40","Cochran County",177,17.7,809,80.9,14,1.4,20.4,10.2,34,16,10.9,6.1,2.4,0.4714,41597,59334,2007.45,1.26,2547,59.95,35.81,2.43,0.24,0,0,0,1.57,27.78,12.82,19.83,20.11,19.46,"Republican"
"41","Coke County",178,10.01,1586,89.15,15,0.84,5.5,8.4,32.5,27.5,6.5,12.4,7.1,0.4704,40230,59150,2361.15,1.4,3285,20.12,75.28,0.21,0.46,0.03,0.18,0.18,3.53,25.28,27.37,17.6,16.48,13.27,"Republican"
"42","Coleman County",451,10.94,3641,88.29,32,0.78,7.2,4.7,29.4,31.5,6.7,15.7,5,0.4784,51034,73573,3270.93,2.39,7684,15.51,78.25,1.85,0.47,0.42,0,0.38,3.12,31.18,24.59,20.14,11.57,12.52,"Republican"
"43","Collin County",230945,46.92,252318,51.26,8953,1.82,3,2.7,14.7,17.9,7.5,33.8,20.5,0.4332,113255,144818,2178.87,495.28,1064465,15.89,50.96,10.16,0.36,17.7,0.06,0.46,4.41,55.67,12,20.67,4.9,6.76,"Republican"
"44","Collingsworth County",155,12.73,1048,86.04,15,1.23,8.6,13.6,23.1,19.1,10.3,20.1,5.1,0.5288,52045,87624,2378.75,1.2,2652,31.37,60.97,4.07,0.87,0.26,0.04,0,2.41,34.46,24.27,19.3,15.08,6.89,"Republican"
"45","Colorado County",2420,24.26,7472,74.91,83,0.83,8.2,7.3,34.9,21.3,6.1,15.8,6.4,0.4741,63352,88293,2487.14,8.28,20557,29.14,57.21,10.81,0.06,0.39,0,0.2,2.19,37.5,15.09,18.07,15.72,13.62,"Republican"
"46","Comal County",24826,27.94,62740,70.6,1297,1.46,2.5,3.9,23.2,21.9,8,26.2,14.4,0.4396,93744,121798,1449.17,114,161501,26.99,65.17,2.22,0.32,1.14,0.08,0.43,3.65,46.3,14.58,20.58,8.74,9.8,"Republican"
"47","Comanche County",853,14.02,5177,85.06,56,0.92,6.8,8.5,33.1,23.8,8.8,12.6,6.3,0.4526,57383,77697,2428.77,5.62,13594,28.45,67.65,0.29,0.36,0.28,0.02,0.18,2.77,30.73,14.83,17.94,18.63,17.87,"Republican"
"48","Concho County",197,15.54,1058,83.44,13,1.03,14,11.1,36.9,21.3,5.1,8.7,2.8,0.4069,55750,67435,2547.91,1.27,3303,31.27,63.49,2.09,0.27,0.58,0.03,0.48,1.79,47.64,18.15,15.35,13.84,5.02,"Republican"
"49","Cooke County",3210,16.91,15596,82.14,182,0.96,5,6.3,31.3,25.4,8.8,15.6,7.6,0.4547,66374,93118,2265.79,18.47,41668,20.44,70.57,2.83,0.86,0.74,0.03,0.3,4.22,31.46,15.71,19.01,14.74,19.09,"Republican"
"50","Coryell County",7565,32.21,15438,65.72,487,2.07,3.8,6.2,28.5,33.7,10.5,12,5.3,0.4072,63281,77044,2725.31,30.43,83093,19.84,55.62,14.15,0.5,2.19,1.25,0.47,5.99,33.71,19.11,21.36,11.48,14.34,"Republican"
"51","Cottle County",113,17.07,540,81.57,9,1.36,7,11.1,28.7,27,7.8,11.8,6.6,0.4874,47625,63160,2332.45,0.71,1380,23.7,65.36,6.96,0.14,0,0.07,0,3.77,29.01,26.64,21.06,16.18,7.11,"Republican"
"52","Crane County",241,16.03,1247,82.97,15,1,18.9,6.1,37.7,19.3,2.3,11,4.6,0.387,71364,83614,2033.32,2.28,4675,67.55,28.71,1.5,0.3,0.47,0,0.02,1.45,25.31,16.13,17.47,25.89,15.2,"Republican"
"53","Crockett County",344,21.86,1220,77.51,10,0.64,12.5,15.5,28.2,26.1,2,9.2,6.4,0.364,64103,80443,7270.94,0.41,3098,61.98,34.86,0.58,0.29,0.32,0,0.29,1.68,40.05,6.87,16.82,24.33,11.94,"Republican"
"54","Crosby County",527,26.98,1396,71.48,30,1.54,9.6,12.6,37.8,19.3,6.7,11.5,2.5,0.5321,50268,78614,2331.5,2.21,5133,55.11,40.44,2.28,0.16,0.23,0,0.12,1.66,26.14,23.4,16.81,19.3,14.36,"Republican"
"55","Culberson County",438,50.69,415,48.03,11,1.27,18.8,4.8,50.3,15.5,0.1,9.7,0.8,0.4335,35924,48200,9873.44,0.22,2188,75.18,20.34,0.91,0.5,1.28,0,0.14,1.65,29.57,23.66,3.87,26.88,16.02,"Democrat"
"56","Dallam County",197,12.24,1389,86.33,23,1.43,18.7,3.2,39.6,21.5,2.7,12.5,1.8,0.3686,71969,83617,3893.1,1.84,7115,52.1,43.84,1.04,0.72,0.14,0.04,0.14,1.98,22.82,13.05,19.04,11.96,33.13,"Republican"
"57","Dallas County",598576,64.95,307076,33.32,15986,1.73,10.3,8.6,22.6,18.6,6.1,21,12.9,0.4923,70732,104220,2261.58,1151.43,2613539,40.48,27.74,21.61,0.26,6.94,0.04,0.38,2.55,37.77,15.89,21.04,11.31,14,"Democrat"
"58","Dawson County",808,21.32,2951,77.88,30,0.79,14.5,15.3,34.1,17.4,5.2,11.5,2,0.4994,45268,66869,2331.78,5.29,12456,54.33,36.85,6.8,0.18,0.45,0.03,0.14,1.22,30.07,20.4,17.82,19.74,11.97,"Republican"
"59","DeWitt County",1494,18.4,6567,80.89,57,0.7,6.6,9.3,42.5,19.3,8.2,10.1,4,0.4882,61100,82939,2354.24,8.42,19824,34.76,54.75,7.85,0.16,0.35,0.01,0.18,1.94,29.01,18.13,21.67,13.46,17.72,"Republican"
"60","Deaf Smith County",1264,27.42,3294,71.45,52,1.13,16.3,11.5,41.1,15.6,3.7,8.8,3,0.4051,51942,70209,3876.75,4.79,18583,74.93,22.78,0.58,0.25,0.24,0,0.22,1.01,20.21,19.15,17.2,19.38,24.06,"Republican"
"61","Delta County",403,15.55,2162,83.41,27,1.04,4.7,6.1,35.1,22.4,10.2,14.9,6.6,0.4472,68491,87624,665.19,7.93,5230,7.53,80.1,5.97,0.8,0.71,0.1,0.57,4.23,39.91,15.76,21.3,11.3,11.73,"Republican"
"62","Denton County",188695,45.15,222480,53.23,6789,1.62,3.1,3.6,16.9,20.6,7.9,31.7,16.2,0.4345,104180,135221,2275.82,402,906422,20.16,53.58,10.52,0.4,10.23,0.07,0.43,4.6,50.17,12.47,22.19,6,9.16,"Republican"
"63","Dickens County",130,13.16,853,86.34,5,0.51,5.9,8.6,39.8,18.1,7.4,13.5,6.6,0.4549,46638,68840,2335.45,0.67,1770,28.93,66.55,1.02,0,0.06,0.11,0.4,2.94,33.28,18.85,14.94,20.88,12.05,"Republican"
"64","Dimmit County",2264,61.76,1384,37.75,18,0.49,19.5,7.8,34.9,20.6,2.7,8.1,6.5,0.5074,27374,58081,3441.8,2.52,8615,86.91,10.42,0.84,0.09,0.79,0.12,0.14,0.7,19.13,25.09,26.91,17.64,11.22,"Democrat"
"65","Donley County",198,12.01,1438,87.26,12,0.73,3.9,11.7,34.1,27.7,9.1,8.9,4.6,0.417,51711,64460,2401.01,1.37,3258,10.93,77.87,5.13,0.83,0.31,0.03,0.18,4.73,34.13,22.8,16.52,20.85,5.7,"Republican"
"66","Duval County",2575,50.96,2443,48.35,35,0.69,13.7,12.9,34.7,23.8,7.1,4.5,3.4,0.4241,50697,61341,4645.08,2.14,9831,80.99,9.53,1.47,0.13,0.46,0,0.08,7.33,25.4,22.38,16.54,24.55,11.14,"Democrat"
"67","Eastland County",983,11.85,7237,87.28,72,0.87,5.3,9.3,30,24.3,8.2,15,7.8,0.476,52902,75893,2399.64,7.42,17725,16.55,77.03,1.89,0.54,0.54,0.09,0.15,3.22,34.51,18.74,19.79,13.78,13.18,"Republican"
"68","Ector County",11367,25.5,32697,73.34,517,1.16,10.2,13,29.7,22.5,8.1,11.3,5.3,0.4579,70566,92876,2325.51,69.79,165171,60.57,30.89,4.5,0.34,1.37,0.2,0.3,1.83,25.81,12.76,21.87,18.17,21.37,"Republican"
"69","Edwards County",168,15.76,893,83.77,5,0.47,15.6,10,18,27.6,9.9,15,4,0.4828,40809,59314,5485.26,0.25,1422,50.49,45.78,0.14,0.35,0.77,0.07,0.14,2.25,16.21,35.44,8.65,34.2,5.49,"Republican"
"70","El Paso County",178126,66.66,84331,31.56,4758,1.78,11.7,8.3,24.3,21.7,9,16.9,8.1,0.4663,55417,73912,2624.93,329.09,865657,82.64,11.35,2.82,0.27,1.24,0.18,0.28,1.23,32.69,20.59,23.3,9.96,13.47,"Democrat"
"71","Ellis County",27565,32.24,56717,66.34,1211,1.42,5.2,6.5,27.2,24.9,8.4,19.1,8.8,0.4014,93248,111815,2423.46,80.67,192455,27.04,55.34,12.33,0.37,0.79,0.1,0.41,3.62,38.36,13.51,22.41,10.66,15.05,"Republican"
"72","Erath County",2916,17.3,13684,81.2,253,1.5,6.3,6.6,26.4,20.2,8.2,22,10.4,0.4883,59654,83514,2805.42,15.25,42545,21.75,70.53,2.81,0.51,0.82,0.03,0.24,3.32,34.53,17.63,20.66,13.51,13.67,"Republican"
"73","Falls County",1899,30.96,4177,68.11,57,0.93,6,11.5,33.5,27.8,7.7,8.8,4.6,0.5024,45172,67718,1982.62,8.58,16968,23.37,51.31,21.85,0.32,0.3,0.05,0.25,2.55,27.93,14.88,23.72,15.77,17.7,"Republican"
"74","Fannin County",2655,17.7,12171,81.12,178,1.19,5.7,8.6,35,23.5,6.7,13.3,7.3,0.4738,65835,91939,2307.25,15.63,35662,11.83,75.83,6.17,0.87,0.41,0.06,0.31,4.53,35.85,15.07,21.03,13.5,14.56,"Republican"
"75","Fayette County",2661,20.56,10171,78.6,109,0.84,5,5.1,39.7,19,7.1,17.7,6.4,0.4838,72881,95174,2460.32,9.98,24435,21.35,69.74,5.66,0.2,0.27,0.02,0.29,2.46,27.46,16.71,20.73,14.44,20.65,"Republican"
"76","Fisher County",352,19.28,1448,79.3,26,1.42,7.7,6.1,34.4,20.4,11.4,13.5,6.4,0.4152,60461,73425,2328.27,1.58,3672,26.5,67.97,2.51,0.41,0.35,0.05,0.3,1.91,35.79,12.56,18.01,20.26,13.38,"Republican"
"77","Floyd County",438,21.48,1584,77.69,17,0.83,13.3,15.5,28.2,20,7,12.3,3.7,0.5407,49321,75402,2569.64,2.1,5402,56.78,38.49,2.31,0.13,0.22,0.02,0.24,1.81,24.8,22.48,21.85,16.35,14.52,"Republican"
"78","Foard County",99,17.97,445,80.76,7,1.27,8,11.6,24.5,29.1,10.7,11.6,4.4,0.4771,41944,59312,1824.38,0.59,1095,17.99,77.17,1.74,0,0.27,0.09,0.18,2.56,49.21,19.88,9.25,12.2,9.45,"Republican"
"79","Fort Bend County",195552,54.7,157718,44.12,4244,1.19,4.7,3.9,17.9,18,7,29.2,19.4,0.4239,109987,138115,2231.98,373.04,822779,24.14,29.62,20.41,0.15,22.06,0.03,0.49,3.09,51.27,12.54,20.81,6.14,9.24,"Democrat"
"80","Franklin County",804,16.05,4161,83.07,44,0.88,3.5,5,28,25.5,7.3,19.9,10.8,0.4403,67915,100612,736.57,14.18,10359,14.05,76.03,3.8,0.38,0.66,0.06,0.59,4.44,43.35,16.08,15.64,9.96,14.99,"Republican"
"81","Freestone County",1635,18.77,6991,80.25,85,0.98,5.2,9.8,34.5,22.5,10.7,11.9,5.5,0.448,55902,75009,2273.31,8.62,19435,16.23,65.95,14.1,0.33,0.34,0.06,0.24,2.76,26.78,19.59,18.85,15.9,18.88,"Republican"
"82","Frio County",2422,45.88,2823,53.48,34,0.64,12.1,17.9,39,16.4,6.1,5.2,3.3,0.472,56042,69861,2935.75,6.18,18385,77.08,16.61,3.83,0.27,1.08,0.05,0.44,0.64,20.16,24.94,18.21,19.84,16.85,"Republican"
"83","Gaines County",576,9.61,5355,89.32,64,1.07,28.7,10.9,33.1,10.6,6.3,8.2,2.2,0.4223,73299,89014,3891.1,5.53,21598,38.9,58.13,1.12,0.19,0.33,0.01,0.21,1.11,24.64,11.75,18.38,26.89,18.34,"Republican"
"84","Galveston County",58842,37.95,93911,60.56,2307,1.49,4.2,6,23.4,23.2,9.3,22.7,11.1,0.4584,83913,110116,982.67,356.99,350682,25.28,54.57,12.3,0.3,3.48,0.06,0.41,3.61,43.69,16.57,18.81,8.32,12.61,"Republican"
"85","Garza County",231,13.97,1413,85.48,9,0.54,15.6,14.5,32.8,21.3,2.6,7.5,5.7,0.402,56215,72497,2313.94,2.48,5816,56.26,37.17,3.95,0.48,0.43,0,0.17,1.53,38.09,18.41,15.04,8.42,20.04,"Republican"
"86","Gillespie County",3176,20.04,12514,78.97,156,0.98,6,5.3,25.2,20.5,7.8,22,13.2,0.4673,70162,99768,2740.73,9.83,26725,21.58,74.4,0.31,0.26,0.48,0,0.37,2.6,35.8,19.64,21.9,12.87,9.79,"Republican"
"87","Glasscock County",39,5.97,611,93.57,3,0.46,9.9,4.1,16.4,29.4,2.6,29.4,8.4,0.4416,112188,133127,2331.55,0.46,1116,34.68,63.62,0.72,0,0,0.27,0,0.72,43.63,1.73,9.5,33.91,11.23,"Republican"
"88","Goliad County",877,21.99,3085,77.36,26,0.65,8.9,6.7,31,24.7,10.9,13.1,4.8,0.5199,58125,91740,2206.7,3.21,7012,32.63,60.55,3.35,0.26,0.34,0,0.23,2.64,33.24,10.24,23.04,17,16.48,"Republican"
"89","Gonzales County",1948,25.47,5627,73.58,72,0.94,9.3,13.3,43.4,15,5.9,9.2,3.9,0.487,64255,87246,2762.7,7.14,19653,50.36,41.52,5.47,0.21,0.32,0.03,0.23,1.87,23.7,16.08,19.5,14.89,25.83,"Republican"
"90","Gray County",829,10.65,6840,87.9,113,1.45,8.6,9.8,32.3,24.4,8.8,12.3,3.8,0.4891,54563,77997,2398.26,8.87,21227,29.9,61.36,3.93,0.66,0.6,0,0.17,3.37,29.62,17.08,21.67,16.85,14.79,"Republican"
"91","Grayson County",14506,24.4,44163,74.3,770,1.3,3.9,5.7,30.2,26.5,11,15.2,7.6,0.4466,66608,88868,2416.02,56.71,135543,15.4,70.24,5.49,1.38,1.44,0.04,0.26,5.74,31.14,17.7,24.06,10.92,16.19,"Republican"
"92","Gregg County",14796,30.84,32493,67.72,693,1.44,5.7,7.9,28.7,26.5,8.8,15.2,7.2,0.4581,63811,84850,708.05,175.47,124239,19.35,54.77,20.1,0.34,1.3,0.04,0.24,3.86,31.9,16.44,22.8,10.75,18.12,"Republican"
"93","Grimes County",2833,22.82,9432,75.98,148,1.19,7,12.2,31.2,23.1,7,12,7.4,0.454,63484,84809,2039.53,14.44,29268,25.15,57.78,13.07,0.29,0.35,0.03,0.29,3.05,36.14,14.52,21.47,13.57,14.31,"Republican"
"94","Guadalupe County",28805,37.12,47553,61.29,1234,1.59,4.5,6.4,29.5,20.8,9.2,19.6,9.9,0.3926,88111,104433,1842.13,94.36,172706,37.77,48.67,6.92,0.28,1.78,0.2,0.45,3.93,35.68,15.82,23.09,9.8,15.62,"Republican"
"95","Hale County",2279,23.78,7177,74.89,128,1.34,13.8,11.4,33,20.2,6.8,9.2,5.6,0.4464,50721,67058,2602.11,12.5,32522,59.93,32.88,4.25,0.3,0.46,0.09,0.21,1.88,28.25,18.97,21.19,13.11,18.48,"Republican"
"96","Hall County",168,14.38,995,85.19,5,0.43,6.7,11.5,33.6,18.9,11.2,14,4.2,0.4906,43873,66562,2288.23,1.24,2825,33.63,56.25,6.73,0.25,0.32,0,0.11,2.73,33.02,20.07,16.3,15.95,14.67,"Republican"
"97","Hamilton County",641,14.74,3616,83.15,92,2.12,4,6.6,35.9,19.7,8.7,17.9,7.2,0.5453,54890,88744,2165.01,3.81,8222,12.71,82.77,0.39,0.45,0.44,0.02,0.21,3.02,31.29,19.6,21.95,11.75,15.41,"Republican"
"98","Hansford County",166,8.11,1849,90.33,32,1.56,12.6,15.2,22.3,15.1,5.1,24.8,4.8,0.4023,62350,77865,2382.3,2.21,5285,49.48,48.29,0.23,0.3,0.17,0.06,0.34,1.14,39.96,18.81,19.34,15.72,6.17,"Republican"
"99","Hardeman County",241,15.25,1330,84.18,9,0.57,5.1,9.9,34.2,25.2,8.1,13.2,4.2,0.4068,60455,73097,1800.34,1.97,3549,23.05,68.78,3.66,0.39,0.51,0.03,0.2,3.38,30.5,16.24,17.18,13.87,22.21,"Republican"
"100","Hardin County",3474,12.57,23858,86.33,303,1.1,3,8.1,38.6,23.3,8.5,14.1,4.3,0.4275,70164,87881,2306.58,24.53,56231,6.08,83.47,5.4,0.34,0.71,0.06,0.26,3.68,34.02,15.97,21.68,11.04,17.28,"Republican"
"101","Harris County",918193,55.96,700630,42.7,21995,1.34,10.4,7.5,22.9,19,7.1,20.8,12.4,0.4973,70789,104780,4421.15,1068.99,4731145,43.01,27.68,18.72,0.18,7.29,0.07,0.49,2.57,38.05,16.52,20.45,11.44,13.53,"Democrat"
