"","County","Democrat vote raw","Democrat vote %","Republican vote raw","Republican vote %","Other vote raw","Other vote %","Less than 9th grade","9th to 12th grade","HS graduate and eq","College,No Degree","Associates Degree","Bachelors Degree","Graduate or professional degree","Gini Index","Median income","Mean income","Area","Density","Total Pop","Hispanic or Latino %","NH-White %","NH-Black %","NH-American Native %","NH-Asian %","NH-Native Pacific Islander %","NH-Other Race %","NH-Two or More Races %","% in Management, business, science, and arts","% in Service","% in Sales and Office","% in Resources and Construction","% in Transportation","Party"
"212","Smith County",29615,29.59,69080,69.03,1380,1.38,5.5,6.9,24.9,25.1,10.3,18.1,9.3,0.4571,69053,92062,2386.6,98.33,233479,20.25,57.59,16.28,0.32,1.77,0.03,0.3,3.47,33.84,17.84,22.49,9.65,16.19,"Republican"
"213","Somervell County",768,15.52,4105,82.98,74,1.5,2.3,4.9,32.1,26,6.1,21.3,7.3,0.4073,87899,97659,482.27,19.36,9205,18.33,76.17,0.42,0.53,0.6,0,0.36,3.6,35.82,13.38,21.88,15.31,13.6,"Republican"
"214","Starr County",9123,52.06,8247,47.06,155,0.88,26,13.1,26.6,17.1,4.5,9.2,3.6,0.5148,35979,53913,3168.02,20.74,65920,97.68,1.78,0.05,0.01,0.15,0,0.15,0.18,25.07,27.67,15.42,15.86,15.98,"Democrat"
"215","Stephens County",397,10.45,3385,89.08,18,0.47,6.7,10.1,34.6,23.9,6.3,13.9,4.5,0.5006,44712,68486,2322.5,3.99,9101,24.22,68.74,2.6,0.4,0.66,0.01,0.3,3.08,34.07,18.87,18.17,10.94,17.94,"Republican"
"216","Sterling County",51,7.98,584,91.39,4,0.63,2.3,7.6,42.1,21.5,3.2,14.6,8.8,0.3683,63558,98668,2391.72,0.58,1372,32.73,63.19,0.22,0.29,0.07,0.15,0.15,3.21,33.22,8.87,28,11.3,18.61,"Republican"
"217","Stonewall County",116,15.76,615,83.56,5,0.68,9,10.1,44.1,20.2,1.6,7.4,7.7,0.4271,66591,75657,2373.24,0.56,1245,18.15,76.95,1.45,0.24,0.4,0,0.16,2.65,19.19,18.89,22.34,14.09,25.49,"Republican"
"218","Sutton County",322,20.68,1222,78.48,13,0.83,10.2,9.8,37.2,23.7,3.7,7.9,7.4,0.4113,56778,69544,3765.67,0.89,3372,62.07,35.59,0.18,0.15,0.18,0,0.42,1.42,30.91,15.24,26.78,15.73,11.33,"Republican"
"219","Swisher County",478,20.3,1845,78.34,32,1.36,13.6,8.5,34.2,16,8.4,15.7,3.6,0.4799,40290,55431,2305.5,3.03,6971,45.14,46.18,5.84,0.26,0.14,0,0.11,2.32,38.79,23.99,11.96,15.07,10.19,"Republican"
"220","Tarrant County",411567,49.31,409741,49.09,13389,1.6,6.1,6.8,23.8,21.4,7.9,22.4,11.5,0.4565,78872,107434,2240.99,943.27,2110640,29.42,42.87,16.99,0.33,6.05,0.2,0.39,3.74,38.74,14.98,22.35,8.75,15.18,"Democrat"
"221","Taylor County",14588,26.47,39547,71.76,977,1.77,3.9,6.1,29.5,22.8,9,18.4,10.3,0.4463,61806,82300,2371.23,60.32,143208,24.27,60.97,7.67,0.41,1.97,0.11,0.33,4.28,35.95,19.61,21.91,10.6,11.93,"Republican"
"222","Terrell County",119,25.98,334,72.93,5,1.09,2.2,4,39.6,21.7,2.9,19.9,9.6,0.3844,52813,66441,6107.08,0.14,760,48.68,46.32,1.05,0,0.66,0,0.26,3.03,32.97,15.38,17.58,14.56,19.51,"Republican"
"223","Terry County",757,20.96,2812,77.85,43,1.19,14.7,9.3,33.8,24.9,6.3,8.1,2.9,0.47,42694,67747,2302.11,5.13,11831,55.52,38.87,3.29,0.25,0.31,0,0.2,1.56,24.32,22.54,18.47,19.91,14.76,"Republican"
"224","Throckmorton County",82,9.12,806,89.66,11,1.22,6.2,3.6,38.9,25.1,6,15.1,5.1,0.4228,55221,66570,2363.5,0.61,1440,10.07,86.67,0.07,0.21,0.21,0,0,2.78,35.56,15.53,17.98,14.71,16.21,"Republican"
"225","Titus County",2856,27.1,7570,71.83,113,1.07,12.6,9.8,37.3,17.3,7.6,10.8,4.6,0.4358,57634,72023,1052.32,29.74,31247,43.78,42.92,9.23,0.32,0.84,0.01,0.23,2.67,25.18,18.34,18.57,10.1,27.81,"Republican"
"226","Tom Green County",12239,27.07,32313,71.47,658,1.46,6.2,7.2,28.4,26.2,7.4,16.4,8.3,0.4476,67215,86111,3942.79,30.25,120003,39.22,51.99,3.34,0.3,1.42,0.12,0.31,3.3,33.42,17.49,23.96,12.24,12.9,"Republican"
"227","Travis County",435860,71.41,161337,26.43,13152,2.15,5.3,3.8,15,16.5,5.6,33.4,20.3,0.4772,92731,130157,2575.21,500.56,1290188,32.64,47.5,7.46,0.21,7.72,0.06,0.5,3.9,54.36,13.07,18.95,6.28,7.34,"Democrat"
"228","Trinity County",1323,19.07,5579,80.41,36,0.52,5.3,8.3,38.9,26,6.6,11.3,3.5,0.4586,51165,71207,1796.92,7.64,13602,9.66,77.44,7.98,0.21,0.22,0.03,0.24,4.21,35.05,19.52,18.76,12.36,14.31,"Republican"
"229","Tyler County",1403,14.52,8194,84.82,63,0.65,5.8,11.6,41.6,22.9,4.9,8.7,4.4,0.5181,50898,80667,2394.16,8.34,19798,7.68,77.29,10.3,0.56,0.49,0.02,0.24,3.42,30.06,18.26,19.58,16.37,15.73,"Republican"
"230","Upshur County",2877,15.23,15809,83.7,201,1.06,4.3,9.2,33.1,26.6,9.9,12.2,4.8,0.4544,60456,80248,1509.91,27.33,40892,9.75,76.51,7.11,0.64,0.43,0.02,0.37,5.17,30.41,14.25,23.97,15.6,15.78,"Republican"
"231","Upton County",170,12.43,1178,86.11,20,1.46,11.5,9.5,43.8,18.9,6.6,6.7,2.9,0.4299,55284,69047,3215.01,1.02,3308,54.32,39.84,1.78,0.33,0.12,0,0.09,3.51,32.65,16.18,17.13,22.21,11.84,"Republican"
"232","Uvalde County",4073,39.38,6174,59.7,95,0.92,12.4,11.5,27.1,21.2,8.7,14.2,4.9,0.5044,55000,72307,4019.46,6.18,24564,70.5,26.92,0.44,0.1,0.64,0.02,0.27,1.11,28.95,23.92,20.89,16.97,9.27,"Republican"
"233","Val Verde County",6771,44.34,8284,54.24,217,1.42,16.1,10.4,27.4,17.4,8.5,12.2,8,0.4389,57250,71313,8144.86,5.86,47586,80.29,16.47,1.13,0.12,0.74,0.07,0.18,1,25.96,23.65,23.57,11.7,15.11,"Republican"
"234","Van Zandt County",3516,13.53,22270,85.67,208,0.8,4.2,9.8,33.3,27.4,8.3,12.2,4.9,0.4676,62334,85932,2182.25,27.52,59541,11.88,80.59,2.55,0.55,0.46,0.05,0.22,3.7,31.19,17.5,21.79,16.13,13.39,"Republican"
"235","Victoria County",10380,30.36,23358,68.32,450,1.32,6.7,9.5,30.3,24.6,9.7,13.9,5.3,0.4424,66308,83950,2284.59,39.92,91319,47.01,43.07,5.73,0.23,1.52,0.04,0.25,2.14,30.43,18.87,22.33,12.78,15.59,"Republican"
"236","Walker County",7884,33.39,15375,65.12,353,1.5,5.9,8.8,38.2,21.2,6.5,12.5,6.8,0.4672,47193,65076,2031.13,38,76400,21.7,52.12,21.44,0.33,1.47,0.05,0.42,2.46,26.08,28.62,18.64,10.38,16.29,"Republican"
"237","Waller County",8191,36.03,14260,62.73,283,1.24,6.7,6.6,31.3,25.6,4.9,18.3,6.6,0.4633,71643,102547,1329.43,43.22,56794,32.55,41.37,21.31,0.37,1.38,0.02,0.55,2.45,35.64,17.08,22.81,11.84,12.63,"Republican"
"238","Ward County",764,18.82,3241,79.83,55,1.35,10.1,9.6,37.7,25.5,5.7,8.6,2.7,0.4249,70771,89224,2164.2,5.24,11644,54.32,38.7,3.56,0.35,0.59,0.02,0.19,2.27,27.06,15.52,21.11,15.69,20.62,"Republican"
"239","Washington County",4261,24.46,12959,74.4,198,1.14,4.1,6.2,31.5,21.7,7.6,19.1,9.7,0.4888,70043,96797,1564.86,22.88,35805,17.94,61.51,15.51,0.21,1.53,0.04,0.39,2.87,36.5,17.11,19.56,12.49,14.34,"Republican"
"240","Webb County",41820,61.14,25898,37.86,679,0.99,15.9,15,21.9,18.8,7.8,14.7,5.9,0.4614,59984,78814,8706.19,30.7,267114,95.22,3.55,0.3,0.05,0.49,0.01,0.17,0.21,26.01,22.4,24.91,10.67,16.02,"Democrat"
"241","Wharton County",4694,28.01,11926,71.15,141,0.84,8.4,10.3,31.1,21.6,10.4,12.9,5.2,0.453,59712,78675,2813.1,14.79,41570,40.82,43.61,13.16,0.17,0.39,0,0.25,1.6,27.09,18.41,20.64,15.99,17.87,"Republican"
"242","Wheeler County",168,7.19,2159,92.38,10,0.43,6.9,7.3,39.7,23.4,5.5,14.5,2.7,0.4338,58158,75121,2368.63,2.1,4990,24.59,69.52,1.62,0.66,0.48,0.04,0.24,2.85,26.65,22.78,20.89,21.06,8.62,"Republican"
