"","County","Democrat vote raw","Democrat vote %","Republican vote raw","Republican vote %","Other vote raw","Other vote %","Less than 9th grade","9th to 12th grade","HS graduate and eq","College,No Degree","Associates Degree","Bachelors Degree","Graduate or professional degree","Gini Index","Median income","Mean income","Area","Density","Total Pop","Hispanic or Latino %","NH-White %","NH-Black %","NH-American Native %","NH-Asian %","NH-Native Pacific Islander %","NH-Other Race %","NH-Two or More Races %","% in Management, business, science, and arts","% in Service","% in Sales and Office","% in Resources and Construction","% in Transportation","Party"
"90","Tazewell County",24819,35.94,42513,61.57,1719,2.49,1.9,4.4,30.7,23.5,11.9,18.7,8.8,0.4171,74606,92162,1674.35,78.4,131343,2.41,91.27,1.24,0.21,0.82,0.03,0.25,3.77,38.93,16.92,20.95,8.93,14.26,"Republican"
"91","Union County",2579,28.96,6161,69.19,164,1.84,4.9,7.1,34.5,22.8,8.9,14.9,6.8,0.452,54090,72159,1070.73,15.99,17244,5.03,88.91,1.31,0.27,0.39,0.06,0.16,3.87,30.12,26.04,15.54,10.74,17.56,"Republican"
"92","Vermilion County",10323,32.62,20725,65.5,594,1.88,2.5,6.9,41.5,21.5,12,9.8,5.8,0.4348,52787,69249,2326.63,31.85,74188,5.14,75.73,13.81,0.19,0.77,0.01,0.34,4.01,28.07,19.22,19.81,10.28,22.62,"Republican"
"93","Wabash County",1253,22.35,4237,75.57,117,2.09,1.9,5,32,21.6,20.9,11.6,6.9,0.4553,54074,75432,578.4,19.57,11361,1.57,92.6,0.47,0.13,2.21,0.05,0.13,2.84,27.03,20.54,18.21,11.8,22.42,"Republican"
"94","Warren County",3090,39,4676,59.01,158,1.99,4.8,7.7,34.6,21.4,10.4,14.1,6.9,0.4184,62700,79550,1404.77,11.93,16835,10.63,80.15,3.43,0.18,1.95,0.09,0.27,3.29,30.1,17.79,22.72,8.08,21.31,"Republican"
"95","Washington County",1641,20.72,6115,77.2,165,2.08,3,4.5,32.8,21,15.6,15.1,8,0.4044,75111,89669,1457.12,9.46,13761,1.63,94.3,0.62,0.18,0.47,0.15,0.11,2.55,35.02,14.36,16.65,15.23,18.74,"Republican"
"96","Wayne County",1187,13.97,7176,84.43,136,1.6,4.6,6.1,34.1,22.9,16.4,10.6,5.2,0.4219,53522,67841,1848.81,8.72,16179,1.12,95.19,0.56,0.16,0.3,0.03,0.18,2.46,29.07,15.96,20.87,13.79,20.3,"Republican"
"97","White County",1517,20.41,5791,77.93,123,1.66,4.1,7.4,33.8,23.1,15.6,10,6,0.4432,54605,70303,1282,10.79,13877,1.35,93.73,0.66,0.16,0.47,0.13,0.11,3.39,29.55,18.52,17.56,13.8,20.56,"Republican"
"98","Whiteside County",12253,44.76,14527,53.07,595,2.17,3.3,5.9,37.8,22.7,11,11.8,7.5,0.4441,62828,82270,1771.81,31.36,55691,12.8,81.42,1.33,0.11,0.55,0.02,0.27,3.51,30.56,16.82,19.71,8.84,24.07,"Republican"
"99","Will County",183915,53.11,155116,44.8,7235,2.09,3.9,4.5,25.7,21.2,8.6,22.7,13.4,0.4099,103678,126188,2164.91,321.85,696355,18.79,60.09,11.38,0.1,6.09,0.01,0.3,3.23,39.17,14.57,21.3,8.42,16.54,"Democrat"
"100","Williamson County",10206,30.26,22801,67.6,722,2.14,2.1,5.1,29.1,25.1,11.4,16.2,10.9,0.452,60325,81280,1088.34,61.67,67153,2.65,86.66,4.18,0.34,1.15,0.01,0.31,4.7,38.14,20.41,19.49,9.55,12.41,"Republican"
"101","Winnebago County",64056,50.16,60861,47.66,2793,2.19,3.6,7.9,31.1,23.8,9.5,15.3,8.8,0.4517,61738,81384,1328.79,214.17,285350,14.35,64.21,13.4,0.2,2.78,0.02,0.39,4.65,32.58,16.9,20.43,8.21,21.88,"Democrat"
"102","Woodford County",6160,28.65,14799,68.84,539,2.51,1.3,4.4,27.8,19.5,11.6,22.4,13,0.4271,80093,103919,1366.37,28.11,38467,1.92,93.18,0.7,0.11,0.56,0.03,0.23,3.27,44.78,14.74,19.14,8.73,12.61,"Republican"
