"","County","State","Democrat vote raw","Democrat vote %","Republican vote raw","Republican vote %","Other vote raw","Other vote %","Less than 9th grade","9th to 12th grade","HS graduate and eq","College,No Degree","Associates Degree","Bachelors Degree","Graduate or professional degree","Gini Index","Median income","Mean income","Area","Density","Total Pop","Hispanic or Latino %","NH-White %","NH-Black %","NH-American Native %","NH-Asian %","NH-Native Pacific Islander %","NH-Other Race %","NH-Two or More Races %","% in Management, business, science, and arts","% in Service","% in Sales and Office","% in Resources and Construction","% in Transportation","Party"
"1322","Blue Earth County","Minnesota",18330,50.84,16731,46.41,990,2.75,2,3.1,24.8,20.5,14.4,23.2,12,0.4346,70906,87952,1936.89,35.64,69112,4.66,82.8,5.6,0.3,2.65,0.03,0.36,3.59,36.92,21.09,17.91,7.5,16.58,"Democrat"
"1323","Brown County","Minnesota",4753,32.48,9552,65.27,330,2.25,2.2,4.8,35.2,21.8,12,17,6.9,0.4,67038,82692,1582.77,16.35,25912,4.52,92.5,0.46,0.15,0.49,0.02,0.08,1.79,34.13,16.17,19.24,10.06,20.4,"Republican"
"1324","Carlton County","Minnesota",10098,49.58,9791,48.07,480,2.36,2,3.9,31.6,24,13.5,16.7,8.4,0.4073,74660,91973,2230.47,16.3,36207,1.69,85.37,1.54,5.93,0.42,0.03,0.23,4.78,36.18,20.18,18.32,10.18,15.13,"Democrat"
"1325","Carver County","Minnesota",30774,46.37,34009,51.25,1578,2.38,1.9,1.8,18,17.3,11.2,33,16.8,0.4152,116308,146881,916.54,116.98,106922,4.96,85.52,2.03,0.18,3.38,0.01,0.27,3.64,50.67,11.42,20.5,7.24,10.17,"Republican"
"1326","Cass County","Minnesota",6342,34.68,11620,63.54,327,1.79,1.6,4.5,31.7,25.3,12,17.6,7.2,0.4327,61970,81800,5235.57,5.79,30066,1.42,82.07,0.21,11.39,0.37,0,0.32,4.22,31.55,19.8,22.32,11.98,14.35,"Republican"
"1327","Chippewa County","Minnesota",2226,33.67,4250,64.29,135,2.04,3.4,5.8,33.3,21.8,15.8,13.2,6.6,0.4267,62112,76829,1505.36,8.28,12598,9.87,83.13,0.6,0.81,0.35,2.35,0.39,2.51,33.3,14.65,24.34,10.14,17.58,"Republican"
"1328","Chisago County","Minnesota",11806,34.15,21916,63.4,848,2.45,1,3.8,32.2,24.2,15.3,16.7,6.8,0.3781,97446,111436,1074.58,52.98,56621,2.56,89.73,1.49,0.55,1.36,0.01,0.33,3.98,36.27,16.48,18.04,13.21,16,"Republican"
"1329","Clay County","Minnesota",16357,50.74,15043,46.66,839,2.6,2,3.7,22.7,20.5,14.4,25.1,11.6,0.443,75006,92120,2706.99,24.13,65318,4.61,83.32,4.81,1.58,1.17,0.02,0.21,4.28,40.67,17.4,21.06,9.06,11.82,"Democrat"
"1330","Clearwater County","Minnesota",1260,26.76,3372,71.62,76,1.61,3.6,8.9,36.9,21.4,11,12.9,5.4,0.4451,62723,81621,2587.41,3.3,8524,1.18,83.89,0.22,8.82,0.27,0.02,0.26,5.33,31.28,17.67,20.31,14.42,16.32,"Republican"
"1331","Cook County","Minnesota",2496,65.58,1203,31.61,107,2.81,0.5,2.3,23.2,18,9.6,28.1,18.3,0.4064,71937,93044,3762.15,1.49,5600,2.2,83.39,0.45,8.04,0.86,0.02,0.45,4.61,44.61,13.66,24.2,8.07,9.46,"Democrat"
"1332","Cottonwood County","Minnesota",1834,30.03,4165,68.2,108,1.77,3.3,5.4,33.9,22.4,12.5,16.9,5.6,0.415,63586,79763,1657.52,6.93,11517,9.68,81.77,1.17,0.22,3.13,0.69,0.46,2.87,35.09,14.3,19.66,12.41,18.54,"Republican"
"1333","Crow Wing County","Minnesota",13726,34.17,25676,63.91,771,1.92,1.2,4.5,29,24.9,13.3,17.8,9.3,0.4293,65975,85233,2585.74,25.74,66123,1.38,92.63,0.58,0.94,0.5,0.03,0.36,3.57,36.74,18.46,19.5,9.82,15.47,"Republican"
"1334","Dakota County","Minnesota",146155,55.73,109638,41.81,6466,2.47,1.8,2.6,19.8,19.9,11.8,30.1,14,0.4105,101360,124697,1457.02,301.42,439882,8.25,73.57,7.32,0.34,5.44,0.04,0.49,4.55,46.77,14,20.71,6.4,12.12,"Democrat"
"1335","Dodge County","Minnesota",4079,33.47,7783,63.86,325,2.67,1.2,3,29.4,20.4,15.7,22.4,7.9,0.3857,92890,112345,1138.03,18.36,20867,5.07,90.13,0.6,0.18,0.5,0,0.31,3.21,38.76,13.75,18.58,13.42,15.49,"Republican"
"1336","Douglas County","Minnesota",7868,32.56,15799,65.38,498,2.06,1.4,2.9,30,19.4,17.8,19.8,8.6,0.4377,72472,95293,1649.51,23.69,39006,2.09,93.91,0.57,0.27,0.58,0.03,0.15,2.4,36.8,17.05,19.79,8.15,18.2,"Republican"
"1337","Faribault County","Minnesota",2531,31.98,5191,65.59,192,2.43,2,4.8,33.9,23.9,14,16.3,5.1,0.4244,64000,81221,1845.31,7.55,13921,7.28,89.09,0.4,0.42,0.32,0,0.28,2.22,32.38,15.36,18.84,14.72,18.7,"Republican"
"1338","Fillmore County","Minnesota",4551,37.48,7301,60.14,289,2.38,3.8,4.3,31.9,21.7,15.1,15.6,7.7,0.4003,73234,88442,2230.84,9.53,21228,1.61,95.03,0.46,0.03,0.33,0.01,0.31,2.22,36.49,16.23,17.91,13.48,15.89,"Republican"
"1339","Freeborn County","Minnesota",6889,40.96,9578,56.95,351,2.09,4.6,6.8,33.4,23.6,14.4,12,5.1,0.4478,65679,86121,1831.76,16.85,30895,10.3,81.15,1.49,0.25,3.67,0.02,0.26,2.87,30.16,15.73,19.65,11.09,23.38,"Republican"
"1340","Goodhue County","Minnesota",11806,41.23,16052,56.06,778,2.72,1.5,4,33.5,20.5,12.7,18.3,9.5,0.4212,78338,94882,1959.88,24.34,47582,3.78,89.35,1.39,1.13,0.73,0.07,0.33,3.22,37.3,16.33,16.89,12.61,16.87,"Republican"
"1341","Grant County","Minnesota",1300,35.58,2269,62.1,85,2.33,1.6,5.2,31.8,24.2,18.2,14,5.1,0.4532,67600,86753,1418.8,4.29,6074,2.22,93.83,0.21,0.44,0.23,0.12,0.07,2.88,32.98,18.12,19.33,14.2,15.37,"Republican"
"1342","Hennepin County","Minnesota",532623,70.46,205973,27.25,17373,2.3,3.2,2.9,15.3,17.3,8.6,33,19.6,0.4792,92595,130586,1434.87,885.65,1281565,7.67,65.61,13.23,0.63,7.6,0.03,0.48,4.76,53.89,13.28,18.81,3.91,10.11,"Democrat"
"1343","Houston County","Minnesota",4853,42.42,6334,55.37,253,2.21,1.2,4,33.4,18.3,16.4,19.9,6.8,0.4059,71580,90338,1429.97,13.17,18843,1.29,94.68,0.48,0.22,0.54,0.02,0.16,2.61,34.91,14.24,18.56,13.02,19.27,"Republican"
"1344","Hubbard County","Minnesota",4462,34.42,8202,63.26,301,2.32,1.2,4.7,28.1,23,13.4,19.4,10.2,0.4489,67197,88072,2398.36,8.96,21344,2.29,89.67,0.38,2.62,0.31,0.06,0.26,4.4,32.81,16.55,20.44,13.09,17.1,"Republican"
"1345","Isanti County","Minnesota",7138,29.45,16491,68.05,606,2.5,1.5,6,34.6,26,12.1,14.5,5.2,0.3926,84063,98379,1128.67,36.55,41135,2.18,91.31,0.76,0.49,1.19,0.03,0.37,3.67,32.94,14.22,18.44,16.53,17.87,"Republican"
"1346","Itasca County","Minnesota",10786,40.61,15239,57.37,536,2.02,1,4.6,30.4,24.8,14.6,16,8.7,0.432,63962,82091,6908.83,6.52,45014,1.37,89.23,0.39,3.33,0.32,0,0.28,5.08,33.7,18.89,19.98,12.58,14.85,"Republican"
"1347","Jackson County","Minnesota",1745,29.99,3948,67.85,126,2.17,1.9,4.6,33.5,21.9,15,17.5,5.6,0.4162,68368,84048,1820.69,5.49,9989,4.01,90.36,1.2,0.22,1.22,0,0.23,2.75,34.14,17.03,14.64,13.69,20.49,"Republican"
"1348","Kanabec County","Minnesota",2774,30.02,6278,67.93,190,2.06,2.7,6,38.8,26.9,10.7,9.3,5.7,0.3964,68995,82961,1350.96,11.95,16032,1.48,93.28,0.41,0.7,0.5,0,0.09,3.54,28.3,19.58,18.14,16.63,17.35,"Republican"
"1349","Kandiyohi County","Minnesota",8440,36.12,14437,61.78,490,2.1,5.5,4.4,26.9,22.3,15.1,18.3,7.6,0.4175,73285,89005,2065.17,21.15,43732,13.53,76.15,5.99,0.26,1.34,0.08,0.22,2.42,34.91,15.86,20.26,11,17.96,"Republican"
"1350","Kittson County","Minnesota",1006,38.12,1546,58.58,87,3.3,2,2,35.6,22.1,11.1,18.9,8.3,0.4156,66000,83162,2846.4,1.47,4207,1.97,94.46,0.02,0.36,0.4,0.14,0.33,2.31,36.46,16.46,18.16,12.77,16.17,"Republican"
"1351","Koochiching County","Minnesota",2659,38.41,4131,59.68,132,1.91,1.7,5.6,33.3,28.3,14.1,13,4.1,0.4024,59779,76411,8041.15,1.5,12062,1.38,90.53,0.36,2.3,0.28,0.1,0.25,4.78,29.68,15.92,22.05,14.52,17.84,"Republican"
"1352","Lac qui Parle County","Minnesota",1446,35.79,2528,62.57,66,1.63,1.1,4.8,36.9,21.7,14.7,15.7,5,0.4437,66967,86770,1981.4,3.4,6719,3.01,92.93,0.48,0.15,0.6,0,0.24,2.6,43.68,13.2,14.32,13.51,15.29,"Republican"
"1353","Lake County","Minnesota",3647,50.64,3393,47.11,162,2.25,1.4,5.8,30.8,21.8,14.3,17,9,0.3973,73860,85459,5462.56,2,10905,1.04,94.28,0.1,0.46,0.5,0,0.28,3.35,34.06,20.97,15.49,13.34,16.14,"Democrat"
"1354","Lake of the Woods County","Minnesota",671,27.87,1704,70.76,33,1.37,0.4,3.6,32.1,29.7,12.9,16,5.2,0.4226,61667,77077,3360.91,1.13,3763,1.49,92.93,0.32,0.5,0.45,0,0.35,3.96,24.51,18.69,16.84,13.54,26.42,"Republican"
"1355","Le Sueur County","Minnesota",5672,33.73,10775,64.07,371,2.21,1.4,3.7,33.7,21.8,14.8,17.4,7.3,0.3987,87180,103386,1162.21,24.78,28674,6.53,88.8,0.91,0.23,0.47,0.07,0.2,2.78,35.36,15.67,17.78,12.43,18.75,"Republican"
"1356","Lincoln County","Minnesota",937,30.08,2121,68.09,57,1.83,2.7,4,35.8,21.8,13.3,15.7,6.7,0.4401,64750,82712,1390.27,4.05,5640,1.9,95.18,0.18,0.2,0.39,0,0.05,2.11,38.86,15.41,20.25,11.78,13.7,"Republican"
"1357","Lyon County","Minnesota",4634,35.94,7979,61.89,280,2.17,3.3,3.9,28.1,23.8,13.3,19.8,7.7,0.4519,68919,88922,1850.32,13.7,25269,6.9,81.27,3.59,0.33,5,0.01,0.16,2.74,37.54,17.09,20.13,9.56,15.67,"Republican"
"1358","Mahnomen County","Minnesota",1112,48.26,1142,49.57,50,2.17,3.5,9.5,35.2,25.6,12.4,9.7,4,0.4429,52739,68803,1444.87,3.73,5411,2.85,42.1,0.15,41.69,0.13,0,0.31,12.77,34.24,23.84,18.08,14.29,9.56,"Republican"
"1359","Marshall County","Minnesota",1295,25.33,3721,72.78,97,1.9,2.2,5.2,39.1,21.2,13.8,14.5,4,0.3842,69396,83132,4597.38,1.96,9040,4.31,92.17,0.13,0.32,0.21,0,0.24,2.61,36.26,11.99,19.86,13.51,18.38,"Republican"
"1360","Martin County","Minnesota",3305,30.02,7480,67.94,224,2.03,1.9,4,34,23.3,13.7,15.4,7.7,0.419,61674,78734,1844.93,10.82,20025,6.59,89.62,0.56,0.16,0.46,0.03,0.23,2.35,33.66,16.79,20.42,11.27,17.87,"Republican"
"1361","McLeod County","Minnesota",6413,30.64,13986,66.81,534,2.55,1.7,4.8,34.4,24.1,16.1,12.4,6.5,0.4248,73296,93548,1273,28.85,36771,6.95,88.55,0.61,0.28,0.63,0.07,0.17,2.74,30.07,14.25,19.48,12.41,23.79,"Republican"
"1362","Meeker County","Minnesota",3867,28.58,9359,69.18,303,2.24,1.6,4.4,35.4,23,15.7,13.8,6.2,0.4221,75926,93631,1574.63,14.83,23400,4.06,92.38,0.4,0.16,0.25,0.01,0.21,2.53,32.59,14.35,18.96,13.29,20.82,"Republican"
"1363","Mille Lacs County","Minnesota",4404,29.98,9952,67.75,333,2.27,2,7.4,36.5,23.8,13.7,11.3,5.4,0.4209,68088,83413,1482.27,18,26459,1.82,87.42,0.29,5.54,0.47,0.02,0.37,4.06,27.4,20.8,17.38,13.7,20.73,"Republican"
"1364","Morrison County","Minnesota",4367,22.33,14821,75.78,370,1.89,2.3,5.3,39.1,22.3,13.5,12.3,5.1,0.424,66264,82157,2913.98,11.68,34010,1.86,94.18,0.53,0.33,0.3,0.01,0.17,2.62,28.27,18.36,19.57,13.66,20.13,"Republican"
"1365","Mower County","Minnesota",8899,46,10025,51.82,421,2.18,4.6,4.4,34.1,20.5,12.4,16,8,0.4189,66972,86370,1842.19,21.76,40029,12.69,74.46,4.03,0.14,5.13,0.64,0.31,2.61,30.46,16.1,15.21,11.08,27.15,"Republican"
