"","County","State","Democrat vote raw","Democrat vote %","Republican vote raw","Republican vote %","Other vote raw","Other vote %","Less than 9th grade","9th to 12th grade","HS graduate and eq","College,No Degree","Associates Degree","Bachelors Degree","Graduate or professional degree","Gini Index","Median income","Mean income","Area","Density","Total Pop","Hispanic or Latino %","NH-White %","NH-Black %","NH-American Native %","NH-Asian %","NH-Native Pacific Islander %","NH-Other Race %","NH-Two or More Races %","% in Management, business, science, and arts","% in Service","% in Sales and Office","% in Resources and Construction","% in Transportation","Party"
"721","Fountain County","Indiana",1629,20.4,6154,77.06,203,2.54,3.5,7.6,45.6,20.1,9.7,8.7,4.8,0.4129,60559,72960,1024.77,16.07,16479,2.5,93.14,0.34,0.23,0.26,0.04,0.14,3.35,29.13,18.06,13.04,13.75,26.02,"Republican"
"722","Franklin County","Indiana",2137,17.81,9691,80.76,172,1.43,3.3,7.2,40.1,20.2,8.5,13.2,7.5,0.4071,75985,89486,995.66,22.95,22785,0.96,95.63,0.1,0.11,0.4,0,0.14,2.65,30.36,14.54,20.2,14.54,20.36,"Republican"
"723","Fulton County","Indiana",2280,24.93,6694,73.18,173,1.89,3.5,9.2,39.1,22.4,8,12.2,5.6,0.4401,62644,81844,954.13,21.4,20480,5.21,90.1,0.69,0.31,0.37,0,0.21,3.11,28.43,15.85,17.95,10.22,27.55,"Republican"
"724","Gibson County","Indiana",4023,24.89,11817,73.12,321,1.99,2.3,7.1,40.8,19.6,12.2,13,5,0.3966,64153,79276,1262.3,26.15,33011,2.06,91.36,1.93,0.18,0.65,0.05,0.35,3.42,28.97,13.66,15.75,12.18,29.43,"Republican"
"725","Grant County","Indiana",8015,29.51,18543,68.28,601,2.21,3.5,7.9,38.2,22,10,10.8,7.6,0.4322,53033,68397,1072.48,62.06,66674,5.12,81.74,6.85,0.24,0.79,0.03,0.36,4.88,30.53,17.76,22.23,8.5,20.99,"Republican"
"726","Greene County","Indiana",3389,22.92,11103,75.1,292,1.98,2.7,9,39.7,21.1,11.4,11.1,5,0.4437,57771,73817,1404.98,21.99,30803,1.79,94.26,0.17,0.22,0.34,0.01,0.17,3.04,29.39,17.55,18.21,14.04,20.8,"Republican"
"727","Hamilton County","Indiana",88390,45.56,101587,52.36,4022,2.07,1,1.9,14.8,14.4,7.1,37.8,23,0.439,114866,151722,1021.44,342.19,347467,5.21,79.2,4.22,0.12,6.75,0.04,0.43,4.04,56.73,11.22,20.91,4.1,7.04,"Republican"
"728","Hancock County","Indiana",12895,30.05,28996,67.57,1020,2.38,1.6,5.1,30.1,21.3,9.1,22.4,10.4,0.394,85262,106434,792.43,101.17,79840,2.76,89.06,2.94,0.15,0.92,0.05,0.27,3.85,39.98,15.7,21.31,11.02,11.99,"Republican"
"729","Harrison County","Indiana",5343,26.4,14565,71.98,328,1.62,2,7.8,40.5,20.5,8.5,13.6,7,0.41,71302,87786,1253.76,31.65,39654,2.34,92.56,0.47,0.23,0.48,0.04,0.27,3.62,34.49,16.32,19.03,13.06,17.1,"Republican"
"730","Hendricks County","Indiana",32604,36.84,53802,60.79,2099,2.37,1.4,5.1,26.6,19.8,7.8,25.8,13.5,0.3942,95261,117133,1053.85,166.66,174788,4.61,79.74,7.64,0.15,3.24,0.04,0.42,4.17,45.08,12.48,21.15,6.22,15.07,"Republican"
"731","Henry County","Indiana",5544,26.36,15043,71.53,443,2.11,2.4,6.4,43.2,22.1,8.8,11.5,5.5,0.4266,57632,74301,1014.96,48.19,48914,2,92.21,2.18,0.14,0.4,0.01,0.22,2.84,30.9,16.26,22.19,9.04,21.6,"Republican"
"732","Howard County","Indiana",13303,32.74,26449,65.1,878,2.16,3,5.7,37.9,24.1,9.5,13.3,6.5,0.4232,62014,78616,759.06,109.94,83658,3.66,81.85,7.67,0.25,1.23,0.02,0.37,4.96,30.11,19.28,18.29,7.47,24.85,"Republican"
"733","Huntington County","Indiana",4255,23.87,13147,73.74,427,2.39,1.6,5.8,42.7,18.1,9.9,14.6,7.4,0.4059,59894,76590,991.03,37.03,36662,2.86,92.4,0.6,0.38,0.44,0.02,0.23,3.07,30.76,15.59,18.47,9.74,25.44,"Republican"
"734","Jackson County","Indiana",4302,22.36,14555,75.66,381,1.98,3.6,6.3,42,21.2,8.2,12.3,6.3,0.4153,65609,80954,1320.84,34.99,46428,13.46,81.45,1.04,0.15,1.01,0.01,0.2,2.67,29.42,12.99,19.03,9.33,29.23,"Republican"
"735","Jasper County","Indiana",3798,24.54,11383,73.56,294,1.9,1.9,5.2,43.3,21.9,8.7,12.6,6.4,0.4062,77777,91528,1449.56,22.8,32918,7.11,88.35,0.39,0.16,0.27,0.03,0.13,3.55,30.54,14.98,20.34,15.55,18.6,"Republican"
"736","Jay County","Indiana",1926,22.76,6361,75.18,174,2.06,5.3,7.2,46.3,19.2,9,7.5,5.4,0.4367,52231,71116,994.31,20.57,20478,4.61,92.26,0.26,0.12,0.31,0.06,0.13,2.26,24.52,15.47,15.76,13.59,30.67,"Republican"
"737","Jefferson County","Indiana",4731,32.19,9663,65.75,303,2.06,3.8,8.3,39.5,18.6,11.7,11.1,6.9,0.4372,57801,74618,934.2,35.39,33147,3.35,90.58,1.54,0.24,0.87,0.03,0.32,3.07,31.25,16.37,18.38,9.12,24.87,"Republican"
"738","Jennings County","Indiana",2523,20.59,9490,77.46,238,1.94,2.4,8.7,43.8,23.2,7.7,9.7,4.4,0.3935,66892,77901,975.38,28.31,27613,3.11,92.95,0.63,0.14,0.18,0.01,0.16,2.82,29.41,17.09,16.27,14.39,22.83,"Republican"
"739","Johnson County","Indiana",24736,31.87,51219,65.99,1663,2.14,2.6,4.8,30.9,20.2,9,20.4,12.1,0.4256,82730,104666,829.87,195.15,161765,3.95,84.53,2.38,0.17,4.59,0.04,0.39,3.94,43.17,13.16,20.98,8.96,13.73,"Republican"
"740","Knox County","Indiana",4067,25.4,11655,72.79,289,1.81,3.2,7.7,35.6,20.7,14.6,11.6,6.5,0.4544,58173,79399,1336,27.06,36282,2.77,91.03,1.92,0.18,0.78,0.04,0.29,3,32.87,20.56,18.27,9.01,19.29,"Republican"
"741","Kosciusko County","Indiana",8364,23.37,26499,74.05,924,2.58,5.2,7,35.2,20.8,7.7,15.4,8.7,0.4134,70945,88194,1376.44,58.44,80240,9.34,84.73,0.85,0.2,1.67,0.02,0.26,2.94,29.72,12.74,17.97,8.95,30.61,"Republican"
"742","LaGrange County","Indiana",2355,22.15,8110,76.27,168,1.58,31.8,7.6,30.1,13.3,5.9,7,4.2,0.4072,81658,96952,983.24,41.05,40446,4.28,93.54,0.23,0.12,0.18,0,0.08,1.56,20.23,12.26,15.09,13.68,38.75,"Republican"
"743","LaPorte County","Indiana",22427,45.41,25997,52.63,968,1.96,2.9,7.3,39.1,20.8,8.9,14.2,6.9,0.4324,66854,84640,1549.56,72.42,112417,7.1,76.46,10.56,0.22,0.66,0.02,0.42,4.56,29.94,18.83,20.13,9.56,21.54,"Republican"
"744","Lake County","Indiana",124870,56.77,91760,41.72,3326,1.51,3.8,6,35.4,21.8,8.6,16.2,8.2,0.4527,66375,86793,1292.12,385.17,498700,20.04,50.35,24.27,0.14,1.47,0.02,0.34,3.37,32.54,17.41,21.65,9.84,18.56,"Democrat"
"745","Lawrence County","Indiana",4961,23.6,15601,74.2,463,2.2,3.1,7.7,38.6,20.7,10.9,11.1,7.8,0.4099,64210,76151,1163.28,38.78,45011,1.7,93.81,0.42,0.29,0.46,0.01,0.21,3.1,28.89,16.38,19.16,11.86,23.71,"Republican"
"746","Madison County","Indiana",19524,37.7,31215,60.27,1054,2.04,2.7,7.4,39.1,21.5,9.9,12.9,6.6,0.4367,60060,75913,1170.47,111.53,130129,4.81,82.17,7.77,0.2,0.5,0.03,0.37,4.14,30.59,19.3,20.59,10.67,18.85,"Republican"
"747","Marion County","Indiana",247772,63.59,134175,34.44,7672,1.97,4.5,8.1,27.5,18.8,7.8,21.4,11.8,0.4745,59504,83196,1025.61,947.47,977203,13.23,50.52,27.19,0.18,4.08,0.04,0.55,4.22,38.64,15.32,21.29,7.14,17.62,"Democrat"
"748","Marshall County","Indiana",5712,28.66,13844,69.47,371,1.86,5.7,8.6,37.8,19.7,8.2,13,7.1,0.4265,66016,84516,1148.97,40.22,46095,11.39,84.41,0.44,0.14,0.59,0.02,0.24,2.76,26.34,11.72,19.64,11.66,30.64,"Republican"
"749","Martin County","Indiana",1011,19.65,4029,78.32,104,2.02,3,8.2,42.5,18,14.3,9.5,4.6,0.4135,65489,77781,869.62,11.34,9812,0.94,95.14,0.2,0.2,0.34,0.06,0.11,3.01,33.09,11.86,15.02,15.02,25.01,"Republican"
"750","Miami County","Indiana",3235,22.35,10925,75.49,313,2.16,4.5,8.7,42.5,19.7,9.1,10.8,4.7,0.4178,59551,73007,968.25,37.13,35962,3.3,86.54,4.98,0.78,0.36,0.01,0.28,3.74,25.22,16.3,18.48,13,27,"Republican"
"751","Monroe County","Indiana",39861,63.12,22071,34.95,1219,1.93,1.1,4.2,21.4,17.5,7.6,24.1,24.1,0.4828,60308,82332,1021.81,137.08,139718,4.55,80.51,3.59,0.16,5.98,0.03,0.39,4.8,47.86,18.49,16.91,5.71,11.03,"Democrat"
"752","Montgomery County","Indiana",4213,24.5,12659,73.61,326,1.9,2.7,8.2,41.2,20,7.1,13.1,7.7,0.4266,62937,80316,1307.03,29.09,37936,6.01,88.96,0.9,0.19,0.62,0.03,0.2,3.07,26.44,17.96,16.45,11.41,27.73,"Republican"
"753","Morgan County","Indiana",7781,21.52,27512,76.09,866,2.39,2,8.5,38.8,20.9,9.6,13.6,6.7,0.419,79134,97771,1045.92,68.61,71780,1.77,93.3,0.47,0.27,0.38,0.02,0.25,3.53,32.46,14.43,18.86,13.47,20.77,"Republican"
"754","Newton County","Indiana",1509,22.89,4942,74.98,140,2.12,4.6,8.4,45.3,20.9,7.3,10,3.4,0.3945,63673,73581,1040.54,13.29,13830,7.51,87.15,0.3,0.18,0.25,0.01,0.25,4.35,23.43,14.41,18.76,16.05,27.34,"Republican"
"755","Noble County","Indiana",4660,24.28,14195,73.97,335,1.75,9,7.8,39.6,17.7,8.2,12.3,5.4,0.3826,70286,82166,1064.09,44.57,47457,11.06,84.78,0.46,0.15,0.47,0,0.22,2.86,26.59,13.03,16.21,9.2,34.97,"Republican"
"756","Ohio County","Indiana",750,23.7,2392,75.6,22,0.7,1.3,6,45.2,21.6,10.2,11.1,4.5,0.417,66333,81019,223.13,26.77,5940,1.33,94.76,0.27,0.07,0.49,0,0.27,2.81,32.07,17.75,16.34,12.55,21.29,"Republican"
"757","Orange County","Indiana",2224,25.18,6432,72.83,176,1.99,5.3,9.4,44.7,18.1,8.5,9.3,4.6,0.446,60775,75798,1031.8,19.16,19867,1.54,93.26,1.01,0.19,0.3,0.06,0.17,3.49,27.45,19.04,17.36,11.8,24.35,"Republican"
"758","Owen County","Indiana",2420,24.43,7286,73.57,198,2,4.1,9.5,42.9,19.5,8.6,10.7,4.6,0.4386,57947,74786,997.91,21.41,21321,1.39,93.21,0.37,0.22,0.29,0,0.23,4.28,27.05,17.05,14.42,15.74,25.74,"Republican"
"759","Parke County","Indiana",1503,21.44,5398,76.99,110,1.57,7.5,7.2,37.9,21.2,11,9,6.1,0.4307,63393,79566,1151.82,14.17,16156,1.39,94.88,1.23,0.34,0.19,0,0.07,1.9,27.62,17.3,19.23,13.83,22.02,"Republican"
"760","Perry County","Indiana",3203,36.72,5345,61.28,174,1.99,2,6.8,45.9,19.7,9.5,11.3,4.9,0.4053,58936,72080,988.7,19.41,19170,1.15,93.13,2.07,0.17,0.52,0.02,0.24,2.71,27.24,15.32,15.07,12.41,29.97,"Republican"
"761","Pike County","Indiana",1415,22.75,4692,75.43,113,1.82,3.2,6.4,47.8,19.8,8.7,9.3,4.8,0.3944,64182,75704,865.96,14.12,12250,1.47,95.23,0.25,0.32,0.12,0,0.09,2.51,24.11,16.51,14.31,13.07,32.01,"Republican"
"762","Porter County","Indiana",39746,45.94,45008,52.03,1755,2.03,1.9,4.1,34.5,20.9,8.7,18.6,11.4,0.4276,82915,102269,1082.91,160.08,173215,10.91,79.09,4.18,0.15,1.27,0.03,0.35,4.02,39.48,14.45,18.34,11.79,15.94,"Republican"
"763","Posey County","Indiana",3811,28.79,9206,69.55,219,1.65,2,4.2,36.3,20.4,11.6,16.9,8.6,0.3976,75594,91501,1060.3,23.79,25222,1.49,93.73,0.84,0.17,0.42,0.01,0.23,3.11,35.91,13.72,21.5,10.84,18.02,"Republican"
"764","Pulaski County","Indiana",1463,25.2,4246,73.13,97,1.67,3,8.9,45.3,21.3,7.4,8.8,5.2,0.4256,56823,73330,1123.21,11.13,12514,3.66,91.43,0.52,0.19,0.35,0.02,0.11,3.71,27.44,15.03,20.69,10.96,25.89,"Republican"
"765","Putnam County","Indiana",3946,23.78,12278,73.98,373,2.25,2.9,6.2,38.8,23.5,9.2,12.9,6.6,0.3807,70609,82803,1244.59,29.68,36726,2.13,90.26,2.79,0.19,0.97,0.04,0.34,3.28,31.87,14.86,18.41,10.85,24.01,"Republican"
"766","Randolph County","Indiana",2513,22.7,8312,75.09,245,2.21,2.6,7.5,42.3,23.7,8.7,9.4,5.8,0.4211,59674,71761,1171.66,20.98,24502,4.72,91.12,0.49,0.21,0.27,0,0.24,2.95,29.62,20.33,14.85,11.15,24.05,"Republican"
"767","Ripley County","Indiana",2774,19.44,11261,78.91,236,1.65,2.9,6.5,42.5,18.6,10.5,10.7,8.3,0.4408,70285,88962,1156.24,25.07,28995,1.87,93.85,0.25,0.16,0.63,0,0.18,3.06,29.47,15.99,17.07,13.06,24.41,"Republican"
"768","Rush County","Indiana",1754,22.11,6035,76.08,143,1.8,3.2,7.4,45.8,19.5,8.4,10.4,5.3,0.3788,62386,72784,1057.07,15.81,16752,1.5,94.77,0.54,0.11,0.32,0.02,0.21,2.52,30.83,15.73,15.62,11.22,26.6,"Republican"
"769","Scott County","Indiana",2698,26.55,7328,72.12,135,1.33,5.1,13,44.8,17,8.6,7.8,3.7,0.4192,49343,63400,493.14,49.48,24384,2.19,93.62,0.38,0.11,0.36,0.05,0.18,3.11,23.7,13.02,19.74,8.79,34.75,"Republican"
"770","Shelby County","Indiana",5023,25.13,14568,72.87,400,2,3.4,7.5,42.1,18.7,8.7,13.4,6.2,0.4273,66449,83754,1064.84,42.2,45055,5.28,89.46,1.19,0.13,0.75,0.01,0.28,2.9,32.35,18.54,18.09,9.66,21.36,"Republican"
"771","Spencer County","Indiana",3213,29.84,7357,68.32,199,1.85,2,5.5,40.3,19.1,13.2,12.4,7.5,0.4166,66168,84229,1027.93,19.39,19810,3.41,92.72,0.65,0.22,0.37,0.01,0.14,2.48,33.16,14.13,16.73,12.65,23.34,"Republican"
"772","St. Joseph County","Indiana",59896,51.98,53164,46.13,2178,1.89,2.5,6.7,29.9,20.1,8.9,19.2,12.8,0.4718,61877,84995,1185.65,229.74,272912,9.74,69.09,12.98,0.28,2.41,0.06,0.49,4.94,39.31,15.52,20.76,7.29,17.12,"Democrat"
"773","Starke County","Indiana",2650,25.75,7466,72.56,174,1.69,5.7,9.2,43.4,20.4,8.2,8.6,4.5,0.4304,59916,74265,800.68,29.11,23371,3.86,91.55,0.29,0.26,0.17,0.02,0.18,3.69,29.19,14.28,18.21,12.22,26.11,"Republican"
"774","Steuben County","Indiana",4513,27.92,11327,70.08,322,1.99,1.9,5.4,39.2,20.5,8.6,15.9,8.5,0.4273,68837,90100,799.74,43.15,34435,4.14,91.3,0.68,0.19,0.54,0.01,0.27,2.87,28.77,15.17,19.29,9.14,27.63,"Republican"
"775","Sullivan County","Indiana",2153,23.94,6691,74.39,150,1.67,3.2,7.9,42.1,19.1,13.8,9.4,4.4,0.4105,54556,70658,1158.23,17.95,20817,1.6,90.58,4.21,0.21,0.16,0.04,0.13,3.06,31.22,20.43,16.26,11.19,20.91,"Republican"
"776","Switzerland County","Indiana",964,23.21,3133,75.42,57,1.37,5.7,11.1,45.6,19,7.6,8.3,2.6,0.3801,66525,74029,571.53,17.31,9737,1.17,95.12,0.14,0.27,0.21,0,0.11,2.98,23.29,22.13,18.1,13.12,23.36,"Republican"
"777","Tippecanoe County","Indiana",35017,49.01,34581,48.4,1850,2.59,3,5,27.1,17.7,8.2,22.2,16.9,0.4776,55728,76830,1292.14,144.69,186251,10.01,70.58,5.95,0.19,7.31,0.02,0.42,5.51,42.48,16.99,17.16,6.2,17.18,"Democrat"
"778","Tipton County","Indiana",1834,22.6,6110,75.28,172,2.12,2.6,6.6,37.1,18.9,9.9,17.2,7.6,0.3712,71947,85471,674.8,22.71,15359,2.83,93.54,0.3,0.08,0.3,0.01,0.36,2.57,32.93,14.16,18.15,10.5,24.26,"Republican"
"779","Union County","Indiana",736,21.13,2688,77.17,59,1.69,1.8,9.4,36.5,21,11.5,14.3,5.6,0.3795,68514,83247,417.48,16.87,7087,1.04,95.46,0.3,0.31,0.47,0.11,0.17,2.14,33.15,16.7,20.23,8.15,21.77,"Republican"
"780","Vanderburgh County","Indiana",34415,44.31,41844,53.88,1403,1.81,2.3,6.5,32.4,20.9,10.9,17.9,9.2,0.4504,58839,78153,604.51,297.6,180136,3.5,79.63,9.69,0.18,1.34,0.38,0.39,4.88,33.97,18.96,21.52,7.1,18.45,"Republican"
"781","Vermillion County","Indiana",2145,28.67,5184,69.3,152,2.03,1.5,6,40.7,20.8,13.1,12.6,5.2,0.4119,59567,72538,665.35,23.28,15439,1.09,95.16,0.24,0.17,0.3,0.07,0.12,2.85,28.97,17.65,16.62,11.25,25.51,"Republican"
"782","Vigo County","Indiana",18123,41.57,24545,56.3,926,2.12,2.4,7.2,33.2,22,9.6,15.1,10.5,0.4743,52789,72845,1045.4,101.74,106153,3.05,83.03,6.67,0.29,1.89,0.02,0.58,4.47,35.02,20.11,19.92,7.41,17.53,"Republican"
"783","Wabash County","Indiana",3494,23.98,10762,73.85,317,2.18,2.4,6.2,41.8,18.8,9.1,13.6,8.1,0.4054,66194,79536,1068.47,29.04,30976,2.9,92.44,0.51,0.41,0.52,0.03,0.21,2.99,28.31,17.6,18.87,9.87,25.36,"Republican"
"784","Warren County","Indiana",974,21.78,3401,76.05,97,2.17,1.5,5.9,41.3,22.1,10,13.6,5.6,0.4404,72833,96729,944.54,8.95,8440,2.29,95,0.08,0.08,0.31,0,0.13,2.11,28.55,11.44,20.37,14.9,24.74,"Republican"
"785","Warrick County","Indiana",11923,35.24,21326,63.04,580,1.71,1.4,3.6,28.3,19.6,12.6,20.7,13.8,0.4621,91105,120609,996.19,64.31,63898,2.16,89.75,1.62,0.14,2.57,0.02,0.29,3.45,44.81,13.64,18.53,8.09,14.94,"Republican"
"786","Washington County","Indiana",2784,22.93,9114,75.08,241,1.99,4.8,7.7,41.9,20.6,10.9,10.4,3.7,0.4087,60695,73702,1330.45,21.15,28182,1.42,94.39,0.4,0.23,0.34,0.04,0.24,2.95,26.33,13.7,18.36,12.73,28.87,"Republican"
"787","Wayne County","Indiana",9524,34.41,17567,63.47,588,2.12,4.2,7.7,36.3,22.5,10.2,11.7,7.3,0.4477,54854,70847,1040.54,63.93,66553,3.75,85.18,4.55,0.21,1.06,0.02,0.5,4.73,31.05,18.01,19.53,9.88,21.53,"Republican"
"788","Wells County","Indiana",2928,20.84,10855,77.26,267,1.9,1.5,5.2,42.7,20,11.5,13.6,5.5,0.3911,68074,80657,953.34,29.55,28180,3.62,92.26,0.78,0.18,0.46,0.02,0.14,2.54,33.25,13.34,20.78,9.87,22.75,"Republican"
"789","White County","Indiana",3032,27.15,7957,71.26,177,1.59,2.8,6.8,39.9,23.3,8.9,12.5,5.7,0.3964,65345,78827,1308.3,18.83,24688,9.94,85.88,0.45,0.2,0.38,0.02,0.12,3.01,28.37,15.34,18.42,9.29,28.57,"Republican"
"790","Whitley County","Indiana",4234,24.12,12862,73.26,460,2.62,2.6,5.5,37.2,20,11.8,16.7,6,0.3995,73636,89600,869.26,39.41,34191,2.46,93.1,0.44,0.27,0.51,0.01,0.23,2.99,30.4,13.86,18.53,12.26,24.95,"Republican"
"791","Adair County","Iowa",1198,28.68,2917,69.83,62,1.48,1.5,2.8,41.1,21.8,13.8,14.3,4.7,0.4342,63172,81199,1474.4,5.07,7496,2.48,94.26,0.6,0.21,0.31,0.01,0.05,2.07,33.32,13.88,20.37,14.7,17.72,"Republican"
"792","Adams County","Iowa",590,27.31,1530,70.83,40,1.85,2.8,3.1,35.4,20.2,16.9,16.7,4.7,0.4948,64750,92745,1096.69,3.36,3704,1.13,94.98,0.32,0.4,0.35,0,0.4,2.4,40.27,17.75,15.31,4.76,21.89,"Republican"
"793","Allamakee County","Iowa",2576,34.71,4735,63.8,111,1.5,3.5,4.8,41.5,18.6,13.2,13.6,4.9,0.42,64049,80279,1655.19,8.49,14061,8.68,88.19,1.04,0.1,0.29,0.04,0.17,1.49,30.04,12.91,22.68,18.05,16.31,"Republican"
"794","Appanoose County","Iowa",1891,29.02,4512,69.24,113,1.73,4.2,3.9,37.6,22.3,13.3,14,4.8,0.4426,50684,66726,1288,9.53,12317,1.88,94.07,0.61,0.15,0.56,0,0.11,2.62,29.63,14.45,21.19,11.55,23.19,"Republican"
"795","Audubon County","Iowa",1071,31.32,2295,67.11,54,1.58,3,6.5,35.9,21.3,11.7,16,5.7,0.4189,54973,72306,1147.26,4.93,5674,1.52,95.93,0.3,0.09,0.07,0.02,0.07,2.01,34.93,15.47,18.15,15.51,15.93,"Republican"
"796","Benton County","Iowa",5160,35.24,9188,62.75,294,2.01,1.6,4,34.5,21.3,15.3,16.1,7.2,0.389,79444,92655,1854.7,13.83,25575,1.81,94.14,0.44,0.11,0.31,0.01,0.22,2.96,33.45,15.02,19.36,14.83,17.34,"Republican"
"797","Black Hawk County","Iowa",35647,53.53,29640,44.51,1306,1.96,2.5,4.6,30.2,20.9,11.8,19.5,10.5,0.4644,62329,85130,1465.3,89.43,131144,4.92,77.13,10.32,0.17,2.6,0.65,0.29,3.94,35.23,18.41,19.45,7.4,19.51,"Democrat"
"798","Boone County","Iowa",6303,41.09,8695,56.68,342,2.23,0.8,4,32.3,21.6,14.8,19.2,7.2,0.4046,75759,91134,1477.49,18.07,26715,2.65,92.53,1.08,0.19,0.37,0.01,0.16,3,34.23,16.55,19.56,12.25,17.4,"Republican"
"799","Bremer County","Iowa",5958,40.96,8294,57.02,294,2.02,1.1,2.8,30.7,17.4,14,23.2,10.8,0.4116,84727,102454,1127.89,22.18,24988,2.04,93.66,0.96,0.1,0.78,0.01,0.13,2.32,38.13,16.58,17.44,8.33,19.53,"Republican"
"800","Buchanan County","Iowa",4169,38.7,6420,59.59,185,1.72,2.8,3.6,35.6,23,13.9,14.9,6.2,0.404,73493,86635,1479.09,13.95,20565,1.64,95.14,0.34,0.09,0.25,0.05,0.08,2.4,32.17,16.31,18.18,11.75,21.59,"Republican"
"801","Buena Vista County","Iowa",2961,36.26,5056,61.91,150,1.84,11.3,9.3,31.4,15.7,10.7,14.5,7.2,0.4165,62662,85747,1488.98,13.89,20823,28.45,54.64,2.69,0.14,9.07,2.95,0.37,1.69,24.78,12.22,17.41,10.11,35.48,"Republican"
"802","Butler County","Iowa",2424,29.93,5542,68.44,132,1.63,1.4,5.1,37.1,21.7,15.5,15.2,4.2,0.4066,65743,81283,1502.55,9.57,14334,1.28,95.93,0.18,0.11,0.2,0,0.13,2.17,34.03,15.55,17.59,12.43,20.41,"Republican"
"803","Calhoun County","Iowa",1470,27.96,3689,70.16,99,1.88,1.1,5,36.6,21.8,14.1,15.2,6.2,0.4499,65614,84083,1475.89,6.7,9927,2.38,93.29,1.52,0.22,0.24,0.08,0.19,2.08,37.53,17.87,17.18,13.15,14.28,"Republican"
"804","Carroll County","Iowa",3454,30.47,7737,68.26,144,1.27,2.5,2.9,36,21.8,14.8,16.4,5.7,0.4197,68041,84303,1474.88,14.05,20760,2.86,93.49,1.26,0.09,0.36,0,0.09,1.84,31.64,16.32,21.47,10.35,20.22,"Republican"
"805","Cass County","Iowa",2201,30.25,4969,68.29,106,1.46,1.9,6.9,37.3,23,10,15.2,5.7,0.4694,60815,80614,1461.42,8.97,13127,2.33,93.83,0.21,0.13,0.27,0.59,0.21,2.42,34.03,15.61,22.48,10.8,17.07,"Republican"
"806","Cedar County","Iowa",4337,40.52,6161,57.56,205,1.92,1.6,2.8,40.1,20.2,14.4,15.2,5.7,0.3806,76959,88121,1500.8,12.31,18505,2.5,93.67,0.43,0.22,0.33,0.01,0.29,2.56,30.89,16.62,22.07,14.49,15.93,"Republican"
"807","Cerro Gordo County","Iowa",10941,45.97,12442,52.28,418,1.76,2.1,4.1,34.4,20.2,15.2,16.4,7.5,0.4515,63149,85095,1471.89,29.2,43127,5.2,87.69,1.97,0.22,1.24,0.32,0.19,3.17,31.3,19.04,20.95,7.3,21.42,"Republican"
"808","Cherokee County","Iowa",1936,29.7,4495,68.96,87,1.33,2.1,4.7,40.5,18.8,12.2,14.3,7.4,0.4244,63638,81329,1494.18,7.76,11658,4.55,91.51,0.72,0.21,0.49,0.12,0.24,2.17,33.93,15.18,19.25,10.78,20.86,"Republican"
"809","Chickasaw County","Iowa",2233,33.68,4308,64.97,90,1.36,2.9,3.4,45.2,16.8,13,14,4.6,0.3917,72734,85021,1306.19,9.15,12012,4,93.02,0.62,0.06,0.23,0,0.06,2.01,28.05,12.76,18.03,13.54,27.62,"Republican"
"810","Clarke County","Iowa",1466,31.39,3144,67.32,60,1.28,3.6,11.9,42.3,18.1,8.8,9.7,5.6,0.4501,63120,78632,1116.57,8.72,9748,15.74,80.4,0.44,0.07,0.83,0.41,0.29,1.83,31.7,16.18,13.88,12.01,26.22,"Republican"
"811","Clay County","Iowa",2662,29.68,6137,68.42,170,1.9,0.6,3.9,32.1,24.3,13.1,18.3,7.7,0.4236,61756,78126,1469.14,11.18,16384,4.3,91.71,0.6,0.23,0.64,0.01,0.07,2.44,34.12,14.3,24.35,10.42,16.82,"Republican"
"812","Clayton County","Iowa",3340,34.81,6106,63.64,148,1.54,3.4,5.9,43,19.7,10.8,12.8,4.4,0.4299,60441,79375,2016.21,8.49,17043,2.01,94.53,0.93,0.2,0.28,0.04,0.09,1.92,28.35,16.51,19.16,14.83,21.15,"Republican"
"813","Clinton County","Iowa",10812,43.8,13361,54.12,514,2.08,1.6,6.4,37.2,21.1,12.1,15,6.6,0.4319,61080,80620,1799.93,25.83,46460,3.31,88.73,3,0.22,0.54,0.02,0.22,3.95,31.94,14.16,21.25,10.32,22.33,"Republican"
"814","Crawford County","Iowa",2220,31.03,4854,67.85,80,1.12,9.5,8,34.9,21.7,9.8,12.6,3.5,0.4389,61188,78927,1849.77,8.89,16525,29.72,64.3,2.32,0.19,1.83,0.02,0.16,1.45,21.1,18.61,19.13,12.16,29,"Republican"
"815","Dallas County","Iowa",26879,47.98,27987,49.96,1156,2.06,1.6,2.1,18.6,16.9,9.2,34.8,16.8,0.4354,99533,130223,1523.52,65.88,99678,6.54,81.97,2.67,0.14,5,0.03,0.34,3.31,53.89,11.27,19.11,5.92,9.81,"Republican"
"816","Davis County","Iowa",1013,24.7,3032,73.92,57,1.39,16.5,4.4,29.4,18,12.7,13.7,5.2,0.401,77176,91815,1300.66,6.99,9110,1.58,95.88,0.09,0.12,0.16,0,0.11,2.05,37.01,10.88,18.7,14.07,19.33,"Republican"
"817","Decatur County","Iowa",1120,29.44,2615,68.74,69,1.81,4.4,6.5,37.2,18.6,8.4,14.4,10.5,0.4237,56068,67612,1377.57,5.58,7645,2.76,91.69,1.27,0.22,0.51,0.27,0.34,2.93,36.39,17.51,18.17,14.23,13.71,"Republican"
